   |CODCLAVECICBENEFICIARIO|CODCLAVECICSOLICITANTE|PERIODO|FECDIA|HORINITRANSACCION|CODSUCAGE|CODSESION|CODINTERNOTRANSACCION|CODTRANSACCIONVENTANILLA|DESTRANSACCIONVENTANILLA|ACTV_BENEFICIARIO|TIPPER_BENEFICIARIO|FLG_FFNN_BENEFICIARIO|FLG_FFNN_SOLICITANTE|TIPBANCA_BENEFICIARIO|TIPBANCA_SOLICITANTE|MTOTRANSACCION|TIPPER_SOLICITANTE|DESBANCA_BENEFICIARIO|DESBANCA_SOLICITANTE|FECONS_BENEFICIARIO|FECONS_SOL|FLG_AN_BENEFICIARIO|FLG_AN_SOLICITANTE|FLG_REL|FLG_ROS_BEN|FLG_ROS_SOL|FLG_MTO_P25|FLG_MTO_P50|FLG_MTO_P75|FLG_MTO_P90|FECDIA2|FEC_BEN|FLG_AN|TIPPER|FLG_NUEVA_BEN|dif|dif2|FLG_NUEVA_SOL|FLG_NUEVA|FLG_BANCA|PERSONA_SOL|EMPRESA_SOL|PERSONA_BEN|EMPRESA_BEN|FLG_ROS|FLG_MTO|FLG_NOREL|MTOTRANSACCION_ES|TIPPER_BEN|TIPPER_SOL|MTO_P95|MTOTRANSACCION_ES95|N_Cluster
1888|8851327.0|4306183.0|202008|13/08/2020|10:19:07|570000|124|902252000000.0|62|DepÂ¢sito Cte|6719.0|E|1|1|C|P|970828.6|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/2017||0|0|0|0|0|0|0|0|1|2020-08-13|2017-08-24|0|0|0|1085 days|1085.0|0|0|1|1|0|0|0|0|1|1|970828.6|1|0|651373.7949999986|651373.7949999986|8
2828|18258.0|1984672.0|202002|11/02/2020|18:16:35|550000|683|902210000000.0|117|Credipago without validation|5143.0|E|1|1|P|P|270000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |12/09/1997||0|0|1|0|0|1|0|0|0|2020-11-02|1997-12-09|0|0|0|8364 days|8364.0|0|0|1|1|0|1|0|0|0|0|270000.0|1|0|270000.0|270000.0|4
2296|12626151.0|2878464.0|202001|25/01/2020|10:57:59|194000|223|800653000000.0|62|DepÂ¢sito Cte|7414.0|E|1|1|P|P|212550.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|0|2020-01-25||0|0|0|||0|0|1|1|0|1|0|0|0|1|212550.0|1|0|212550.0|212550.0|9
2032|8851327.0|9658750.0|202001|06/01/2020|16:33:26|335000|1230|800643000000.0|62|DepÂ¢sito Cte|6719.0|E|1|1|C|P|766652.9|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/2017||0|0|0|0|0|0|0|0|1|2020-06-01|2017-08-24|0|0|0|1012 days|1012.0|0|0|1|1|0|0|0|0|1|1|766652.9|1|0|651373.7949999986|651373.7949999986|8
2485|6536817.0|4980301.0|202005|21/05/2020|14:23:55|375000|427|902237000000.0|117|Credipago without validation|5122.0|E|1|1|P|P|268040.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/02/2008||0|0|1|0|0|1|0|0|0|2020-05-21|2008-01-02|0|0|0|4523 days|4523.0|0|0|1|1|0|1|0|0|0|0|268040.0|1|0|268040.0|268040.0|4
1797|21378.0|8548026.0|202005|04/05/2020|12:57:49|191087|453|902233000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|224504.6|P|EMPRESA                            |BANCA PERSONAL                     |28/10/1994||0|0|1|0|0|0|0|0|0|2020-04-05|1994-10-28|0|0|0|9291 days|9291.0|0|0|1|1|0|0|1|0|0|0|224504.6|1|0|224504.6|224504.6|16
1068|8637421.0|5323234.0|202001|04/01/2020|11:24:37|380000|444|800642000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|295843.4|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-04-01||0|0|0|||0|0|1|1|0|0|0|0|0|1|295843.4|1|0|295843.4|295843.4|10
1085|72232.0|94767.0|202001|03/01/2020|09:38:59|191028|47|902192000000.0|115|Credipago with partial validation|2422.0|E|1|1|C|P|410000.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |27/12/1932||0|0|0|0|0|0|0|1|0|2020-03-01|1932-12-27|0|0|0|31841 days|31841.0|0|0|1|1|0|0|0|0|0|1|410000.0|1|0|410000.0|410000.0|14
2168|93143.0|18344583.0|202001|08/01/2020|12:08:15|375000|236|902194000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|254799.5|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|1|0|0|0|2020-08-01|1998-07-04|0|0|0|8064 days|8064.0|0|0|1|1|0|0|1|0|0|1|254799.5|1|0|254799.5|254799.5|0
3363|7071429.0|877773.0|202004|02/04/2020|14:02:00|215000|822|800686000000.0|117|Credipago without validation|121.0|E|1|1|E|P|500000.0|P|EMPRESA                            |BANCA PERSONAL                     |09/07/2008||0|0|1|0|0|0|0|1|0|2020-02-04|2008-09-07|0|0|0|4167 days|4167.0|0|0|1|1|0|0|1|0|0|0|500000.0|1|0|500000.0|500000.0|6
3032|5417954.0|221080.0|202002|15/02/2020|12:28:25|194044|203|902212000000.0|62|DepÂ¢sito Cte|7499.0|E|1|1|P|P|220000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/02/2005||0|0|1|0|0|0|0|0|0|2020-02-15|2005-01-02|0|0|0|5522 days|5522.0|0|0|1|1|0|1|0|0|0|0|220000.0|1|0|220000.0|220000.0|4
2673|17008404.0|19741283.0|202006|30/06/2020|11:29:13|405000|275|800710000000.0|60|DepÂ¢sito Aho||P|1|1|P|P|266395.52|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-06-30||0|1|0|||0|0|1|1|0|1|0|0|0|1|266395.52|0|0|266395.52|266395.52|9
1649|14746.0|10513532.0|202002|22/02/2020|12:22:59|194000|461|800669000000.0|60|DepÂ¢sito Aho|6599.0|E|1|1|E|P|355000.0|P|EMPRESA                            |BANCA PERSONAL                     |01/12/1994||0|0|0|0|0|0|1|0|0|2020-02-22|1994-01-12|0|0|0|9537 days|9537.0|0|0|1|1|0|0|1|0|0|1|355000.0|1|0|355000.0|355000.0|3
2046|23636480.0|9215504.0|202005|13/05/2020|16:06:14|365000|974|800695000000.0|62|DepÂ¢sito Cte|9309.0|E|1|1|P|P|244700.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |01/04/2015||0|0|1|0|0|1|0|0|0|2020-05-13|2015-01-04|0|0|0|1956 days|1956.0|0|0|1|1|0|1|0|0|0|0|244700.0|1|0|244700.0|244700.0|4
3046|9309910.0|9092434.0|202008|28/08/2020|15:01:39|193011|432|800738000000.0|107|Pago de Credito ALS|99.0|P|1|1|P|P|254506.89|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|1|0|0|0|2020-08-28||0|1|0|||0|0|1|1|0|1|0|0|0|1|254506.89|0|0|254506.89|254506.89|9
1344|5865339.0|3788143.0|202003|11/03/2020|13:14:32|191014|156|902223000000.0|115|Credipago with partial validation|1543.0|E|1|1|E|P|229088.55|P|EMPRESA                            |BANCA PERSONAL                     |15/12/2006||0|0|0|0|0|0|0|0|0|2020-11-03|2006-12-15|0|0|0|5072 days|5072.0|0|0|1|1|0|0|1|0|0|1|229088.55|1|0|229088.55|229088.55|0
1963|6486858.0|983757.0|202001|14/01/2020|18:21:55|215000|1733|800647000000.0|62|DepÂ¢sito Cte|7499.0|E|1|1|C|P|261130.0|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |15/10/2007||0|0|0|1|0|1|0|0|0|2020-01-14|2007-10-15|0|0|0|4474 days|4474.0|0|0|1|1|0|0|0|0|0|1|261130.0|1|0|261130.0|261130.0|7
3089|14746.0|7928571.0|202008|11/08/2020|17:07:54|305000|648|800733000000.0|60|DepÂ¢sito Aho|6599.0|E|1|1|E|P|500000.0|P|EMPRESA                            |BANCA PERSONAL                     |01/12/1994||0|0|0|0|0|0|0|1|0|2020-11-08|1994-01-12|0|0|0|9797 days|9797.0|0|0|1|1|0|0|1|0|0|1|500000.0|1|0|500000.0|500000.0|13
1765|14746.0|10165646.0|202002|01/02/2020|09:53:12|194000|87|800657000000.0|60|DepÂ¢sito Aho|6599.0|E|1|1|E|P|646000.0|P|EMPRESA                            |BANCA PERSONAL                     |01/12/1994||0|0|0|0|0|0|0|0|1|2020-01-02|1994-01-12|0|0|0|9486 days|9486.0|0|0|1|1|0|0|1|0|1|1|646000.0|1|0|646000.0|646000.0|11
1013|8637421.0|7716761.0|202009|04/09/2020|16:15:18|380000|671|800740000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|646964.8|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-04-09||0|0|0|||0|0|1|1|0|0|0|0|1|1|646964.8|1|0|646964.8|646964.8|8
3231|93143.0|16494818.0|202003|24/03/2020|11:51:14|375000|172|902227000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|223798.0|P|EMPRESA                            |BANCA PERSONAL                     |07/04/1998||0|0|0|0|0|0|0|0|0|2020-03-24|1998-07-04|0|0|0|7934 days|7934.0|0|0|1|1|0|0|1|0|0|1|223798.0|1|0|223798.0|223798.0|0
1599|4613804.0|5571554.0|202009|04/09/2020|12:25:19|215000|415|800740000000.0|62|DepÂ¢sito Cte|5141.0|E|1|1|E|P|500000.0|P|EMPRESA                            |BANCA PERSONAL                     |27/05/2004||0|0|1|0|0|0|0|1|0|2020-04-09|2004-05-27|0|0|0|5796 days|5796.0|0|0|1|1|0|0|1|0|0|0|500000.0|1|0|500000.0|500000.0|6
2054|8851327.0|2483740.0|202003|16/03/2020|16:43:35|570000|1356|902225000000.0|62|DepÂ¢sito Cte|6719.0|E|1|1|C|P|827508.5|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |24/08/2017||0|0|0|0|0|0|0|0|1|2020-03-16|2017-08-24|0|0|0|935 days|935.0|0|0|1|1|0|0|0|0|1|1|827508.5|1|0|651373.7949999986|651373.7949999986|8
1036|5327980.0|5327980.0|202007|17/07/2020|14:53:59|191105|300|800726000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|564330.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-07-17||0|1|0|||0|0|1|1|0|1|0|0|1|1|564330.0|0|0|564330.0|564330.0|15
515|618219.0|618219.0|202002|21/02/2020|18:01:01|280000|333|902215000000.0|107|Pago de Credito ALS|9309.0|P|1|1|P|P|544782.28|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-02-21||0|1|0|||0|0|1|1|0|1|0|0|1|1|544782.28|0|0|544782.28|544782.28|15
1104|13004790.0|9101410.0|202006|18/06/2020|14:28:25|305000|489|800707000000.0|62|DepÂ¢sito Cte|7414.0|E|1|1|P|P|345000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-06-18||0|0|0|||0|0|1|1|0|1|0|0|0|1|345000.0|1|0|345000.0|345000.0|2
2547|71834.0|3383881.0|202002|11/02/2020|10:36:18|475000|261|800663000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|E|P|380200.0|P|EMPRESA                            |BANCA PERSONAL                     |01/04/1976||0|0|0|0|0|0|1|0|0|2020-11-02|1976-01-04|0|0|0|16374 days|16374.0|0|0|1|1|0|0|1|0|0|1|380200.0|1|0|380200.0|380200.0|3
533|7134618.0|4288515.0|202005|20/05/2020|14:47:01|194019|276|800697000000.0|62|DepÂ¢sito Cte|7499.0|E|1|1|E|P|311500.0|P|EMPRESA                            |BANCA PERSONAL                     |24/06/2008||0|0|0|1|0|0|1|0|0|2020-05-20|2008-06-24|0|0|0|4348 days|4348.0|0|0|1|1|0|0|1|0|0|1|311500.0|1|0|311500.0|311500.0|3
1579|4613804.0|5571554.0|202006|12/06/2020|12:21:28|215000|486|800705000000.0|62|DepÂ¢sito Cte|5141.0|E|1|1|E|P|299950.0|P|EMPRESA                            |BANCA PERSONAL                     |27/05/2004||0|0|1|0|0|0|1|0|0|2020-12-06|2004-05-27|0|0|0|6037 days|6037.0|0|0|1|1|0|0|1|0|0|0|299950.0|1|0|299950.0|299950.0|17
1531|18258.0|123684.0|202003|16/03/2020|18:22:20|550000|702|902225000000.0|117|Credipago without validation|5143.0|E|1|1|P|P|390000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |12/09/1997||0|0|1|0|0|0|1|0|0|2020-03-16|1997-12-09|0|0|0|8133 days|8133.0|0|0|1|1|0|1|0|0|0|0|390000.0|1|0|390000.0|390000.0|12
3351|7457108.0|877773.0|202003|02/03/2020|14:09:42|215000|1228|800674000000.0|60|DepÂ¢sito Aho|6023.0|E|1|1|E|P|299900.0|P|EMPRESA                            |BANCA PERSONAL                     |15/07/2008||0|0|0|0|0|0|1|0|0|2020-02-03|2008-07-15|0|0|0|4220 days|4220.0|0|0|1|1|0|0|1|0|0|1|299900.0|1|0|299900.0|299900.0|3
2154|1276715.0|8916332.0|202006|16/06/2020|11:48:03|555000|165|902240000000.0|117|Credipago without validation|6519.0|E|1|1|P|P|300004.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |05/09/1988||0|0|0|0|0|0|1|0|0|2020-06-16|1988-05-09|0|0|0|11726 days|11726.0|0|0|1|1|0|1|0|0|0|1|300004.0|1|0|300004.0|300004.0|2
2090|782176.0|782176.0|202002|19/02/2020|10:10:59|200000|48|902213000000.0|60|DepÂ¢sito Aho|91.0|P|1|1|P|P|1028500.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-02-19||0|1|0|||0|0|1|1|0|1|0|0|1|1|1028500.0|0|0|651373.7949999986|651373.7949999986|15
2674|17008404.0|19741283.0|202006|30/06/2020|11:28:32|405000|275|800710000000.0|60|DepÂ¢sito Aho||P|1|1|P|P|341946.44|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|0|0|0|1|0|0|2020-06-30||0|1|0|||0|0|1|1|0|1|0|0|0|1|341946.44|0|0|341946.44|341946.44|2
1012|8637421.0|7716761.0|202008|21/08/2020|12:37:17|380000|408|800736000000.0|62|DepÂ¢sito Cte|6712.0|E|1|1|C|P|606552.1|P|BANCA CORPORATIVA                  |BANCA PERSONAL                     |||0|0|0|0|0|0|0|0|1|2020-08-21||0|0|0|||0|0|1|1|0|0|0|0|1|1|606552.1|1|0|606552.1|606552.1|8
3400|120470.0|120470.0|202006|05/06/2020|14:22:06|305000|267|800702000000.0|109|Pago Tarjeta Solicion Negocios|9309.0|P|1|1|P|P|201084.93|P|BANCA PERSONAL                     |BANCA PERSONAL                     |||0|0|0|1|1|0|0|0|0|2020-05-06||0|1|0|||0|0|1|1|0|1|0|1|0|1|201084.93|0|0|201084.93|201084.93|7
91|13956604.0|2148505.0|202007|16/07/2020|14:02:21|305000|377|800726000000.0|117|Credipago without validation|5122.0|E|1|1|P|P|400000.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |27/01/2015||0|0|1|0|0|0|0|1|0|2020-07-16|2015-01-27|0|0|0|1997 days|1997.0|0|0|1|1|0|1|0|0|0|0|400000.0|1|0|400000.0|400000.0|1
1317|12762209.0|13100286.0|202007|03/07/2020|14:35:54|220000|326|800711000000.0|62|DepÂ¢sito Cte|5122.0|E|1|1|P|P|288110.0|P|BANCA PERSONAL                     |BANCA PERSONAL                     |24/02/2014||0|0|1|0|0|1|0|0|0|2020-03-07|2014-02-24|0|0|0|2203 days|2203.0|0|0|1|1|0|1|0|0|0|0|288110.0|1|0|288110.0|288110.0|4
